nama,id,kode,tingkat
Aceh,100054,11,1
Bali,191103,51,1
Banten,191100,36,1
Bengkulu,191092,17,1
Daerah Istimewa Yogyakarta,191098,34,1
Dki Jakarta,191095,31,1
Gorontalo,191053,75,1
Jambi,191089,15,1
Jawa Barat,191096,32,1
Jawa Tengah,191097,33,1
Jawa Timur,191099,35,1
Kalimantan Barat,191101,61,1
Kalimantan Selatan,191106,63,1
Kalimantan Tengah,191102,62,1
Kalimantan Timur,191107,64,1
Kalimantan Utara,191108,65,1
Kepulauan Bangka Belitung,191094,19,1
Kepulauan Riau,191091,21,1
Lampung,191093,18,1
Maluku,191115,81,1
Maluku Utara,191116,82,1
Nusa Tenggara Barat,191104,52,1
Nusa Tenggara Timur,191105,53,1
Papua,191117,91,1
Papua Barat,191118,92,1
Papua Barat Daya,191121,96,1
Papua Pegunungan,191120,95,1
Papua Selatan,191114,93,1
Papua Tengah,191119,94,1
Riau,191088,14,1
Sulawesi Barat,191113,76,1
Sulawesi Selatan,191111,73,1
Sulawesi Tengah,191110,72,1
Sulawesi Tenggara,191112,74,1
Sulawesi Utara,191109,71,1
Sumatera Barat,191087,13,1
Sumatera Selatan,191090,16,1
Sumatera Utara,191086,12,1
